,diasourceid,ssobjectid,mag,filter,heliocentricdist,topocentricdist,eclipticbeta
2982,-5688604000732374983,3263536939768428974,20.13309,r,1.9640251052026425,1.3050803202989418,-32.56253477441872
2983,200566821601004058,39480829619806,19.103416,r,1.82531562356991,1.2604425805275585,-30.639667656220517
2984,-1535092317426442275,-3500422336332016045,20.434156,z,1.9856525846937565,1.3096503345950354,8.49056803672762
2985,-86535190430888230,6343551850602934008,21.002396,z,1.9154625132005247,1.1246301291721128,-18.865025571650843
2986,-3446235257506103623,9089511009317350118,20.557768,y,1.9068991807370843,0.9165624578374052,-5.227506780540203
2987,-7500888565483924393,9089511009317350118,20.544924,y,1.9069214037991684,0.9166097389778395,-5.226553617984791
2988,-4754998265604918206,-5404037113398715311,18.207182,z,1.8893716697291674,1.1148903975704274,-8.807650215293355
2989,-4200213937323669177,7715995732486221541,19.224373,z,1.993983545367238,1.1473349447303933,4.448649466875506
2990,3895686784413125512,-6693005046324641472,19.655123,z,1.969909640828024,1.0409126942895777,-3.4875322891005585
2991,6076934534665657287,7152696592332108113,20.568611,i,1.9482805093579305,1.118379798996956,-26.780253967315275
2992,5284896601766199521,3374940494641149465,19.910494,y,1.9859348044231435,1.0900257135042033,-8.832787290897471
2993,4587691305297012770,8398034906500659276,18.41607,z,1.883905494325982,1.1471604027562663,-24.359840357380943
2994,4219616202494336877,-8906251867559020981,21.602385,i,1.8862818284533522,1.0302152063295367,-2.420954620578664
2995,-8496813128546461418,-8906251867559020981,21.765173,z,1.8862726720112515,1.0303239492028653,-2.4256634443843943
2996,8246622929006152340,-5544655568340017488,21.736311,y,1.8671607205565774,1.3747976287811023,-27.054234890356437
2997,9193873995293678628,1241673175663010063,18.5945,y,1.9498299381923243,0.9629964433140846,7.61915112217559
2998,-2824255770489054982,-6286710786557781233,20.486311,y,1.960597510800614,1.7126607255200772,23.453596625361868
2999,7280838623938772172,3721814917582499106,20.243202,i,1.9333271251560682,1.0860148548096455,0.6049980249827017
3000,5904859516021074424,3721814917582499106,20.302755,z,1.933295995852137,1.0861011766297186,0.6033647792112482
3001,-2108660497852739323,3374940494641149465,19.914188,z,1.9859366471099407,1.090327359216193,-8.831694279783175
3002,-7857775177304862981,7247572871539586170,17.051857,y,1.8788698889948678,0.8877514627015968,9.736020565791698
3003,-5858061353500774864,7247572871539586170,17.049908,y,1.8788590322758572,0.8877546667864349,9.735598562243833
3004,-4585644766599428252,-5404037113398715311,18.198158,y,1.8894004484920452,1.1150418534089952,-8.806031177687846
3005,-159078281485611973,741228960308361526,20.509596,y,1.7672475790814517,0.8305077022980732,-8.144166760649158
3006,-5201311181183656980,6343551850602934008,20.956228,z,1.9155793177288472,1.1242782534982614,-18.865050990434455
3007,8421328721147260495,8070238712254349147,21.080803,y,1.8100066728864197,1.7989146816681463,8.353494176347292
3008,-1201614101100967274,738102966983048882,20.21719,z,1.8624137119799484,0.9738312813991822,-7.588485769683323
3009,674446366878511989,-3200049652292859405,20.6031,y,1.7264024623729162,1.549904364136338,-22.94009547208771
3010,-7430382470480301577,-3200049652292859405,20.722681,y,1.7264146850464024,1.549800310082556,-22.941218664082104
3011,-6724953894767042232,5641625140552048065,20.415438,y,1.7613475465059654,1.5019574216683607,28.178306173254857
3012,8370553405225629686,3609286167911488276,23.70654,r,1.931155784729012,1.425060422009499,-30.970873021065945
3013,-3720028322446883020,-4690411527054064936,20.106508,r,1.9899638398511783,1.3664420759151534,-17.487681108404384
3014,-7525976304324299068,3425000671466961383,22.414024,z,1.9993827313492476,1.1814840208627844,8.70821062020118
3015,4460322423768132796,1541185992839065747,22.397013,y,1.8729444824159247,1.085712554364414,-28.22793439696612
3016,2436486904833811428,-3530417036619114928,18.56958,i,1.8801636313440695,0.964862701832938,-14.083213787512811
3017,-4989148679403983110,-3530417036619114928,18.617268,z,1.8801627843283515,0.9649387662950727,-14.082588413868768
3018,-3498639620674966291,4014314220546821705,20.386961,z,1.9856585642407731,1.0607152321321625,-6.652385457979203
3019,-5272987624127558504,1541185992839065747,22.645819,z,1.872917710280172,1.085566753327669,-28.227350145760823
3020,8512965189291767959,-4690411527054064936,20.102066,r,1.989951622983514,1.3665327733364359,-17.486729815526775
3021,3496000558772897296,5115375807728290110,19.80062,y,1.9912943117011606,1.3846878484385667,-33.40200310297378
3022,3137935889304803243,-8121776987817513945,20.728096,z,1.8088181412728426,0.9690180420338707,-20.656507956451875
3023,204341049516660285,-8121776987817513945,20.778076,y,1.8088991916821326,0.9691837198609653,-20.649480387474124
3024,8658452567333194578,-5408330154801537663,17.117743,y,1.9667177484998057,0.9694480025680785,5.795022426501779
3025,1112853685690452831,645488333502063067,19.486382,z,1.9846035579855534,1.0881136568805299,-1.155126177159725
3026,-8110795133970164905,6281616809572869144,20.542326,i,1.9178248530342974,1.0162402600189253,9.758981843155393
3027,6509200433096108725,6281616809572869144,20.479174,z,1.917873403714589,1.0163721162677797,9.752754540063806
3028,-1532965515765759084,-7181918102544907725,17.077116,y,1.924746220768227,0.9275340423287713,5.90946268946726
3029,-6346432675013792159,-7181918102544907725,17.072279,y,1.924749495953174,0.9275465707642854,5.910165980576717
3030,1675479824610848025,-3530417036619114928,18.62919,z,1.8801585529818265,0.9653327617874417,-14.079323966436483
3031,-8724473880994096344,6079752790308568157,22.812115,r,1.9664890557747028,1.2653432956332298,-25.442818142416165
3032,1127419430653110872,645488333502063067,19.43367,i,1.9846080333517697,1.088016571868981,-1.1548534027538724
3033,-4284405955315928311,-4947570309557878032,21.299742,y,1.9307938559182185,0.9328684062676974,0.8210128481770388
3034,5418606569440449822,-4947570309557878032,21.119896,y,1.9308048134509745,0.9328930602723705,0.8213379083495165
3035,2185105183867788760,-3321481070285067044,19.525087,y,1.7433944996946276,1.2967767372312033,25.971303324472263
3036,-1765245607863304837,4038292768066042930,21.143965,z,1.956539180148852,1.0937466440610337,-7.987701748386399
3037,6273551096449612034,6343551850602934008,20.867764,y,1.9155476995854344,1.124372877638812,-18.86505025230085
3038,4488766987931900017,-1957106302667173489,20.377285,i,1.9325599664025188,1.5608753765218362,4.211976331467549
3039,3907111105758466453,-8121776987817513945,20.73421,i,1.8090197205819465,0.9694309451309752,-20.639036544581877
3040,289391219102605275,-1957106302667173489,20.463242,z,1.9325570195201207,1.5610462181378426,4.214707133047631
