,diasourceid,ssobjectid,midpointtai,mag,filter,topocentricx,topocentricy
243023,6932000954438034020,4369429983256270746,60042.26212688922,21.453306,y,-1.0021551499645722,0.026608272834931033
136057,7880323576407710323,4883747682651542723,60042.13225829059,21.725733,i,-1.4405680624815242,0.5651218247639225
235501,-8726885537840333795,-5396879939772701526,60042.147593244095,22.06459,z,-1.0602255860692262,0.5040891321515093
223534,-878386509310246954,7423537607499665249,60042.23643154499,21.876135,y,-1.4494730938411793,0.1440439117361402
158643,7034769234543091327,-6409383509335537352,60042.1453371629,20.873981,z,-1.2548998464967067,0.5271970443011593
3722,380362109389346250,-7653892223314649191,60042.232841452584,20.428625,y,-1.628252055031163,-0.021348933940516616
230582,-3103763477876627427,-1124813477613607926,60042.13815864183,22.696186,i,-1.16722333479261,0.21823382148104908
175914,3032385392169954349,7225185772700033093,60042.02466787569,21.023045,z,-1.1326515374381527,0.9605744048684061
40570,3300467572314726812,-2419431044840802843,60042.235533412204,18.360245,y,-1.6396393610110616,-0.05441058385763494
17356,3957718734597713815,-1138855604285186593,60042.25354030414,18.62359,y,-1.9529986028260806,-0.30862372532655663
64724,-7745751573578997075,3732901596710026875,60042.16266098121,18.737371,z,-1.4524194235771393,0.24593774885488073
184198,8382932435959563840,-7441584738363598368,60042.193301993786,21.845835,y,-1.194859621833336,-0.11163328848142264
153312,-4249138887827411029,-8161112277895851255,60042.13860713552,20.446604,i,-1.4640616166385658,0.3487690045230269
120155,-2585151969625512902,9043971253684612259,60042.20519858273,20.284382,y,-1.1064950421072086,-0.009760853792382479
71544,-3546073045238524764,2151366477861145691,60042.24225716688,21.075333,y,-1.8673481447553721,-0.403830508650686
16879,4175094904984027485,-3499795916107157974,60042.26346572061,18.636408,y,-1.3791001670898027,-0.124904526739461
88770,-7935977499484103031,8172218153096940588,60042.25935437502,18.725561,y,-1.2941044943420181,-0.2768409558166776
204222,5493547832186370623,-1620508175953440213,60042.25845531678,20.296644,y,-1.3634390674336627,-0.1951582561092089
116029,-8426153254146390575,5999240692738625907,60042.20009748922,20.863071,y,-1.829577281635855,-0.3615341986104086
21630,-8508113808001744484,-6220500370724274063,60042.17749705245,18.92727,y,-1.3066127913829977,0.38669761854569634
23337,4002134941953792063,6994045783180920527,60042.19643296327,19.574339,y,-1.2983446737481763,-0.25550128059527333
149663,1937117644427616856,3455770811351239471,60042.16899935868,22.31305,z,-1.1212827872155615,0.4037812837007997
134287,2182744130860709079,-7543331674629147146,60042.23732389833,21.090921,y,-1.829540360901456,-0.00931349868942846
74644,-3735709283454055121,5782746423037335359,60042.20654226075,19.662016,y,-1.834660325045714,-0.09807905597089499
171588,-8978538400528491167,-8582409823169485096,60042.299001443425,20.999786,z,-0.52283546985052,-0.35569721754965766
174402,7443949656611487216,-7577588161216775152,60042.20966958916,20.960464,y,-1.8335675513872103,-0.45905769389314466
66511,-7166340902115181284,6085239396977266873,60042.26749066342,21.325424,y,-1.6284395826391869,-0.12387585945318262
166791,2961364178101124815,-8066853924970451272,60042.02466787569,21.857239,z,-1.0571747657384323,0.8675641234092089
214479,-6188759478806827959,1935891001596204671,60042.154822460696,22.02958,z,-1.6835026461829123,0.4179775667525875
19645,6392280808729288074,-3229565913445957205,60042.17972836747,20.840862,y,-1.617718463594683,0.3785198904954977
186745,8281828989231487940,-662040324623543670,60042.22731322761,21.470135,y,-1.508765889505699,-0.28780547901220316
36803,3035235654092813849,-382841119833377511,60042.2377739086,21.806267,y,-1.3463850157284416,-0.06357567783207453
117901,-6372796826131429704,-7308242966666956122,60042.25800833573,21.552752,y,-1.2704756715509185,-0.2538885789145523
191666,-6293323567615347563,-2968091198008695665,60042.098951995606,21.950296,z,-1.7717599678485467,0.8346305755068855
240882,5173646818666562374,-8545025474145573135,60042.13539330409,22.623625,i,-1.2098756585326984,0.13366021015392768
72455,-2772122175627049732,2447309790977712471,60042.15617744882,22.542183,z,-1.8926754945701711,0.5646563671286183
29344,1778688432789499394,3791400734463555902,60042.10255930437,22.825294,z,-1.6369020138117094,0.5825467202469866
227641,4365991063857343309,-832669362237963558,60042.14713431151,22.378313,z,-1.381614333579634,0.6046980006740666
164199,-5333530270789192404,-4782100431092807313,60042.20832896462,21.303846,y,-1.797912209974804,-0.23636799392814992
93944,583741027544398718,3998634707599512097,60042.015287180024,21.413433,z,-0.4903321085473345,1.465763966590206
112979,-8294722044312553281,3580421363328198680,60042.21835579365,19.539572,y,-1.8051225705786393,0.03942258235945404
232699,1763515785580034399,4284394787221433091,60042.19419550132,21.207787,y,-0.9762593123105986,-0.1944140450610107
193250,5840566389357430346,4891946356850306962,60042.12642224366,23.038635,i,-1.2683345026724715,0.692293232212422
136078,8971064681380632962,-4166877068301845097,60042.13270711241,22.342001,i,-1.766495649868744,0.6284511198871248
73150,8669251199683116723,-3893097199102648559,60042.116517259135,21.743568,y,-1.84398085616825,0.6761086932356801
4573,-2691988632092670088,-7774814739788543375,60042.15207256504,14.846148,z,-1.5938727392446315,0.3208707007649544
182026,4608352473279356736,-8094177268767758064,60042.265255122045,21.021246,y,-1.7614342822341524,-0.18430591627035597
111329,3127266221754182987,-9043793546691520988,60042.18605672211,21.363972,y,-1.835612488828863,0.7551647364659618
78349,-1158609588889913711,8615414628703202457,60042.20248454655,21.593424,y,-1.5495497678554457,-0.01283357641619799
168474,-3151721526595625827,2041623416123119125,60042.207436101286,20.66608,y,-1.2352848271753234,-0.14014048183209085
236111,1788117712334392463,-4788340898101771904,60042.25935437502,21.12268,y,-1.0982303067047936,-0.22207873450146662
212004,7483863450312654166,6193684589599837817,60042.27106240241,21.604477,y,-1.023046123358644,-0.2535232998679873
130813,3843373808211764004,-6175895186514487440,60042.225955171656,20.170895,y,-1.809918376658979,-0.358288748933781
207934,8065691124647695097,3008857572352492648,60042.15207256504,22.16837,z,-1.3389026463683402,0.24900513774356622
34298,-3798035019459629696,-7310544269715426187,60042.20383438114,20.700676,y,-1.4378271818874566,-0.03238806726705095
45490,-3335965055873896378,-4068302179828793688,60042.22550772144,20.166988,y,-1.829765695221833,-0.36489063972203045
95182,-8434770045316285741,-1968015038417559478,60042.09940047104,22.444584,z,-1.6738938688173743,0.6118938491959396
224307,-1829741272681350137,-2865670337669435879,60042.21100997597,20.4314,y,-1.0736646994123002,-0.29178210754605816
41414,8969114898108588124,8070166141039625456,60042.22685068427,21.96068,y,-1.283193176039556,-0.14883233963936643
112368,7403459758646465660,-6354035258312082944,60042.24506209539,20.390858,y,-1.778441194728562,-0.09728720231992717
65384,3071064920658530836,-1473726755820039267,60042.15207256504,21.855433,z,-1.554990688839586,0.3073526743710981
216357,-5015602282306096965,-6410374063985326681,60042.15908246949,22.879671,z,-1.3036414961758607,0.5901432123979131
207881,-944738196656358326,-804175770486195093,60042.19960341634,21.347786,y,-1.477877639898738,-0.1254019083502848
11703,8932601451478064293,-4237096505519188730,60042.00590611077,19.5032,i,-0.9096677182604196,1.1939962401920603
132745,5089413547080602190,3957959059823959328,60042.181121816066,21.374317,y,-1.5218147442167282,0.21699375847961203
33639,8684142129381649188,4917267732187670931,60042.025117552635,21.99769,z,-1.3616526285736064,1.1880573423702343
213695,1663077844115463832,-4765100883486024551,60042.24360156452,21.410479,y,-1.3640133728457782,-0.22867994061129865
77523,-1684581304902846865,6043966503484365383,60042.15818410279,20.688894,z,-1.7744559934606345,0.8433078503012923
238877,-1165409468279262908,166620569497984413,60042.10164332212,22.515528,z,-1.4224693164944544,0.3462237801486707
215958,-4652768993438204770,-7310810741996859150,60042.15818410279,22.318844,z,-1.4273581230360641,0.6898542954562299
109566,-4430907968723584909,-1729829236611241331,60042.24951634736,19.795708,y,-1.6092435956241307,-0.04365489663850644
68545,2398573028430026721,6932052626913695865,60042.21745676681,21.021433,y,-1.8569996800375512,-0.020818588976667173
24461,2352136446139417692,-4278092188533571942,60042.17928172158,18.483927,y,-1.3196327211142533,0.24665633529568765
16801,3018603608973440107,3359564728425938361,60042.134052939,18.970734,i,-1.3611149583108622,0.2779336198869926
61067,-4316565856989214906,-1915551554349083735,60042.265701167016,16.972406,y,-1.0091878518048283,-0.12033869811371864
38029,-7240268296099817079,-7665219815877973076,60042.2286584035,18.141035,y,-1.7642882813820993,-0.2638635735136468
10110,7916743825248221468,-4614086521119541015,60042.23687768129,18.965992,y,-1.9544933718669812,0.03551101861690568
43730,2354843012253707703,2021448809346809174,60042.26972499613,20.005596,y,-1.7896895664067112,-0.37895000786334715
78686,-7430473153398887842,2288691330532247266,60042.23911924015,18.753115,y,-1.2563614962342722,-0.14253032357313974
30131,797731317529682613,-9130273924284858371,60042.14893621672,20.027393,z,-1.5994466327579182,0.5637685312614501
126155,6994031657216424725,4848591070426944908,60042.025563298266,21.475,z,-1.2487837331859302,1.1307178901728887
153242,4365879824932263314,-3954205056570387284,60042.22281723681,21.475061,y,-1.9363183031607714,-0.1259327838777601
91968,7791579149437945919,7388392857833025853,60042.046236384434,21.027782,y,-1.1179709265618214,0.7342274951675484
92158,-1005099111806055775,-7906134788728131281,60042.27515415245,20.66705,y,-1.7695161499357535,-0.21243758628848405
65443,-6043976870826813950,-8062533548916852469,60042.11786133293,20.439518,y,-1.2026780352266517,0.31975041007333194
15244,6924276418953158479,-299599260062444431,60042.16495673121,21.502779,z,-1.9416294622589398,0.3015968354455673
101758,-5120004909436973979,-4040529509732224893,60042.264363160146,20.191128,y,-1.0733609471863406,-0.0262525456988032
102094,-2832963803881963419,-4097666461876379470,60042.118777481046,21.429096,y,-1.4940106979709316,0.5528454731144506
95157,-4454756957309856481,-3404512815838391450,60042.204300646736,22.139656,y,-0.9593212453781037,0.02932725461129604
125128,117869113299337852,8639667392415886974,60042.25443755652,21.293509,y,-1.6499604213116663,-0.28787955444773816
246428,-3731745813618382386,9159788668410900214,60042.184716189,18.703157,y,-1.8108333039499,0.5447002911815162
70844,-7187871839375472162,-6923170876812271499,60042.13996259973,23.091917,i,-1.8731146615248389,0.5336631952630511
237846,-3290119470261356315,-380359625414044533,60042.13726126032,21.96595,i,-1.1549503763994797,0.11425018797189176
43206,2744764738477323204,425801288877613334,60042.19151555616,19.506474,y,-1.7870306129482494,-0.06510539999862935
180753,-1919445025590072985,971903514078669241,60042.156630108984,21.621115,z,-1.5320302502345455,0.6100978270190969
228210,-5681631388644920776,-8173476503728237851,60042.22505887784,21.91158,y,-1.813439050886388,-0.34758043404632305
124674,-9028466059372967901,-7180762944852551437,60042.22505887784,20.322388,y,-1.6115468484056676,-0.3486805860630616
19248,1362990892899766898,585679497819765714,60042.21145774461,21.768848,y,-1.3458060002602341,-0.2814838694411758
37488,8883797634642435372,3096236891671091168,60042.19062105307,21.792622,y,-1.9352786873521464,-0.056054170928900374
62623,2116769715315436596,-1132830694223484337,60042.21745676681,19.80859,y,-1.783583030080815,-0.06073014622469216
115324,1225464762141191970,1058574870633604254,60042.26838258454,19.38185,y,-1.2528230180888114,-0.2173686937883475
97339,67493401607243644,-4061272379423694274,60042.25666804045,19.871067,y,-1.3946578209658753,-0.40480319851379193
217884,-1524352432854845842,6562730101494198620,60042.26257297786,21.558105,y,-0.9273260818522118,-0.03712828908656326
1286,3314778958652640412,1218575858046767672,60042.10074774758,16.148335,z,-1.7865450757949675,0.61269134604291
32776,-5013204179031100765,-2272258111888451011,60042.23643154499,21.575333,y,-1.716413779849901,0.14724673179064693
130102,7173370126962249810,-4092763463294322258,60042.26972499613,19.871128,y,-1.7465311557920975,-0.33296785897988457
96859,8618401460637428638,-6387583719960780569,60042.01305180142,22.209892,z,-0.7176071593501989,1.2261674184198579
143634,5670940348245487407,6380974889866403554,60042.04668397574,21.16331,y,-1.4322921756842186,0.9439635760114512
193657,-6420419932341404518,1257233484424006505,60042.16310715886,21.53766,z,-1.1646264124850867,0.24038086232587105
191533,5655374882488391591,4867473445829427345,60042.135843422395,20.888655,i,-1.5774787800225931,0.3485134468733456
31832,8714571643024139977,9192744228460108573,60042.00009611442,18.485376,i,-0.5290966424092383,1.7340632906370568
147346,6360976586685406683,6297903184070245568,60042.143099639005,20.84369,z,-1.1380593708906017,0.542269898083568
153185,-632859201160218568,-5602925553804013013,60042.116517259135,19.382133,y,-1.2415582572149133,0.411311384016005
218047,3553728892075737244,-479547014571777204,60042.240462001966,21.237309,y,-1.4699357682249319,-0.33631545390193035
104665,7762153431722649125,-8163894989450441957,60042.25220132783,20.43997,y,-1.8952853382951316,-0.01808376411984465
156295,-3120461893029742383,-1384610093383954505,60042.101194347175,21.099106,z,-1.8211276950901376,0.529089961236343
90747,-6100881121699682676,-3157224730143469526,60042.21835579365,21.765036,y,-1.3238425318533866,0.023367377726804327
140237,-3232176961018338139,8127597147429378419,60042.16355396856,21.538351,z,-1.5659371280815453,0.3539069302742634
192031,2114416909472830964,-6838864329789047083,60042.24360156452,20.449413,y,-1.2546054717080166,-0.2525954931302142
204572,-4840608300292478524,-3598755743877808820,60042.149385484314,22.545195,z,-1.6325522824469505,0.5509723805184898
217085,1374194422220318681,-7904426938646855896,60042.09760597871,22.577814,z,-1.3052679111020025,0.7678017899341125
86876,-7668697994836309289,-4428486356640849435,60042.00009611442,21.214762,i,-0.5392490519567856,1.6979620951536454
162560,-3197424952229510607,7968898704181615415,60042.25800833573,21.679396,y,-1.6746896555797113,-0.36190980506180864
100056,-196251090606298058,-8444908270262191784,60042.11741277716,21.805355,y,-1.285282223097313,0.37872227784541035
3393,-5113655107805680035,-8634450430168585506,60042.12687407785,21.373686,i,-1.5943196897854552,0.7471981324605138
120807,7840525870319574904,230971166651286388,60042.074221303126,22.16945,i,-1.48192555803238,0.7659691711332673
77346,611743210730790726,5741303970891007710,60042.13225829059,21.841057,i,-1.6411574298933629,0.6476686354391032
218919,-5983359734626503908,6815231071730979933,60042.22731322761,21.149828,y,-1.2944102054735727,-0.25691146845669255
186901,2170833517094966617,-5534055637821492534,60042.2692788693,20.694803,y,-1.6521250139457122,-0.29343947931000114
44754,7555599307864478756,7233859447497383549,60042.079613283044,21.010069,z,-1.4169442893389574,1.076954921101918
128123,-7326628303959217648,7820694377165519579,60042.267936334836,21.0494,y,-1.2600811942077332,-0.13140535376717072
187494,2899433169587072525,-4379671863883842257,60041.99102732527,21.702765,r,-1.1706541692550307,1.2376759363812186
195375,-5605625635952939903,6365833447157447934,60042.13450188421,21.414211,i,-1.2966558849627456,0.27167144455702796
223546,8887882238430716854,-4950969190307780323,60042.13628956722,22.18275,i,-1.3906287038209497,0.37309692116220017
124265,-1462281054246169053,258795778846692829,60042.22685068427,20.016174,y,-1.3698845882041275,-0.16192255510446862
64094,1813820414894157033,2141890745941582270,60042.18337391072,21.245628,y,-1.6731883039047075,0.5833712368899868
202992,-6516369124034070571,-7812575580356321466,60042.20383438114,21.494085,y,-1.7971938392761284,-0.06864308359708834
15194,343659564437187948,-8983731542993465730,60042.11696727367,20.382128,y,-1.2663343244658591,0.44166251618459834
134113,-6433155419477296086,6137743129576126822,60042.13628956722,22.568064,i,-1.8474097621957344,0.44566108011971295
